tsc     	probe   	vcpu    	pcpu    	tid     
18503193282710	HV_Resume	2       	7       	140216208783104
18503193364386	HV_Exit 	2       	7       	140216208783104
18503193385470	HV_Resume	2       	7       	140216208783104
18503193437602	HV_Exit 	2       	7       	140216208783104
18503193455994	HV_Resume	2       	7       	140216208783104
18503193625350	HV_Exit 	2       	7       	140216208783104
18503193640358	HV_Resume	2       	7       	140216208783104
18503193927126	HV_Exit 	2       	7       	140216208783104
18503193942426	HV_Resume	2       	7       	140216208783104
18503193964254	HV_Exit 	2       	7       	140216208783104
18503234758238	HV_Resume	0       	8       	140216225568512
18503234830934	HV_Exit 	0       	8       	140216225568512
18503234849386	HV_Resume	0       	8       	140216225568512
18503234893594	HV_Exit 	0       	8       	140216225568512
18503234910658	HV_Resume	0       	8       	140216225568512
18503235074832	HV_Exit 	0       	8       	140216225568512
18503235088136	HV_Resume	0       	8       	140216225568512
18503235161590	HV_Exit 	0       	8       	140216225568512
18503235175462	HV_Resume	0       	8       	140216225568512
18503235191890	HV_Exit 	0       	8       	140216225568512
18503235203286	HV_Resume	0       	8       	140216225568512
18503235220638	HV_Exit 	0       	8       	140216225568512
18503260744410	HV_Resume	2       	5       	140216208783104
18503260824106	HV_Exit 	2       	5       	140216208783104
18503260844378	HV_Resume	2       	5       	140216208783104
18503260917990	HV_Exit 	2       	5       	140216208783104
18503260937086	HV_Resume	2       	5       	140216208783104
18503260972022	HV_Exit 	2       	5       	140216208783104
18503260986070	HV_Resume	2       	5       	140216208783104
18503261129262	HV_Exit 	2       	5       	140216208783104
18503261152746	HV_Resume	2       	5       	140216208783104
18503261174662	HV_Exit 	2       	5       	140216208783104
18503261187578	HV_Resume	2       	5       	140216208783104
18503261286786	HV_Exit 	2       	5       	140216208783104
18503261301442	HV_Resume	2       	5       	140216208783104
18503261321694	HV_Exit 	2       	5       	140216208783104
18503276178130	HV_Resume	1       	9       	140216217175808
18503276250198	HV_Exit 	1       	9       	140216217175808
18503276269778	HV_Resume	1       	9       	140216217175808
18503276317550	HV_Exit 	1       	9       	140216217175808
18503276336122	HV_Resume	1       	9       	140216217175808
18503276369302	HV_Exit 	1       	9       	140216217175808
18503276498882	HV_Resume	1       	9       	140216217175808
18503276530370	HV_Exit 	1       	9       	140216217175808
18503276636858	HV_Resume	1       	9       	140216217175808
18503276662426	HV_Exit 	1       	9       	140216217175808
18503276763598	HV_Resume	1       	9       	140216217175808
18503276790554	HV_Exit 	1       	9       	140216217175808
18503276891102	HV_Resume	1       	9       	140216217175808
18503276916398	HV_Exit 	1       	9       	140216217175808
18503277015758	HV_Resume	1       	9       	140216217175808
18503277041450	HV_Exit 	1       	9       	140216217175808
18503277145446	HV_Resume	1       	9       	140216217175808
18503277307370	HV_Exit 	1       	9       	140216217175808
18503277323966	HV_Resume	1       	9       	140216217175808
18503277343226	HV_Exit 	1       	9       	140216217175808
18503520978682	HV_Resume	2       	5       	140216208783104
18503521007032	HV_Exit 	2       	5       	140216208783104
18503521011864	HV_Resume	2       	5       	140216208783104
18503521036618	HV_Exit 	2       	5       	140216208783104
18503521041862	HV_Resume	2       	5       	140216208783104
18503521050442	HV_Exit 	2       	5       	140216208783104
18503521053106	HV_Resume	2       	5       	140216208783104
18503521104036	HV_Exit 	2       	5       	140216208783104
18503521109730	HV_Resume	2       	5       	140216208783104
18503521114588	HV_Exit 	2       	5       	140216208783104
18503521117126	HV_Resume	2       	5       	140216208783104
18503521176652	HV_Exit 	2       	5       	140216208783104
18503521179770	HV_Resume	2       	5       	140216208783104
18503521184172	HV_Exit 	2       	5       	140216208783104
18503524395706	HV_Resume	3       	2       	140216200390400
18503524410206	HV_Exit 	3       	2       	140216200390400
18503524414170	HV_Resume	3       	2       	140216200390400
18503524419188	HV_Exit 	3       	2       	140216200390400
18503524423742	HV_Resume	3       	2       	140216200390400
18503524430680	HV_Exit 	3       	2       	140216200390400
18503524781948	HV_Resume	0       	8       	140216225568512
18503524795140	HV_Exit 	0       	8       	140216225568512
18503524799244	HV_Resume	0       	8       	140216225568512
18503524809382	HV_Exit 	0       	8       	140216225568512
18503524812996	HV_Resume	0       	8       	140216225568512
18503524816606	HV_Resume	3       	2       	140216200390400
18503524824124	HV_Exit 	3       	2       	140216200390400
18503524826856	HV_Resume	3       	2       	140216200390400
18503524834452	HV_Exit 	3       	2       	140216200390400
18503524837148	HV_Resume	3       	2       	140216200390400
18503524844104	HV_Exit 	0       	8       	140216225568512
18503524847012	HV_Resume	0       	8       	140216225568512
18503524880872	HV_Exit 	3       	2       	140216200390400
18503524883776	HV_Resume	3       	2       	140216200390400
18503524913390	HV_Exit 	3       	2       	140216200390400
18503524929684	HV_Exit 	0       	8       	140216225568512
18503524932614	HV_Resume	0       	8       	140216225568512
18503524936136	HV_Exit 	0       	8       	140216225568512
18503524938640	HV_Resume	0       	8       	140216225568512
18503524942438	HV_Exit 	0       	8       	140216225568512
18503524964832	HV_Resume	3       	2       	140216200390400
18503524971008	HV_Exit 	3       	2       	140216200390400
18503524975622	HV_Resume	3       	2       	140216200390400
18503525019452	HV_Exit 	3       	2       	140216200390400
18503525022524	HV_Resume	3       	2       	140216200390400
18503525027044	HV_Exit 	3       	2       	140216200390400
18503773786578	HV_Resume	0       	10      	140216225568512
18503773820316	HV_Exit 	0       	10      	140216225568512
18503773825666	HV_Resume	0       	10      	140216225568512
18503773840754	HV_Exit 	0       	10      	140216225568512
18503773845872	HV_Resume	0       	10      	140216225568512
18503773922028	HV_Exit 	0       	10      	140216225568512
18503773925000	HV_Resume	0       	10      	140216225568512
18503773983854	HV_Exit 	0       	10      	140216225568512
18503773986946	HV_Resume	0       	10      	140216225568512
18503773990532	HV_Exit 	0       	10      	140216225568512
18503773993030	HV_Resume	0       	10      	140216225568512
18503773997144	HV_Exit 	0       	10      	140216225568512
18503780860694	HV_Resume	2       	5       	140216208783104
18503780880516	HV_Exit 	2       	5       	140216208783104
18503780884858	HV_Resume	2       	5       	140216208783104
18503780903414	HV_Exit 	2       	5       	140216208783104
18503780907096	HV_Resume	2       	5       	140216208783104
18503780913158	HV_Exit 	2       	5       	140216208783104
18503780915806	HV_Resume	2       	5       	140216208783104
18503780964768	HV_Exit 	2       	5       	140216208783104
18503780971702	HV_Resume	2       	5       	140216208783104
18503780977758	HV_Exit 	2       	5       	140216208783104
18503780980250	HV_Resume	2       	5       	140216208783104
18503781002984	HV_Exit 	2       	5       	140216208783104
18503781005824	HV_Resume	2       	5       	140216208783104
18503781009738	HV_Exit 	2       	5       	140216208783104
18503939755858	HV_Resume	1       	9       	140216217175808
18503939839494	HV_Exit 	1       	9       	140216217175808
18503939859018	HV_Resume	1       	9       	140216217175808
18503939910034	HV_Exit 	1       	9       	140216217175808
18503939928886	HV_Resume	1       	9       	140216217175808
18503939962090	HV_Exit 	1       	9       	140216217175808
18503940093434	HV_Resume	1       	9       	140216217175808
18503940125714	HV_Exit 	1       	9       	140216217175808
18503940230086	HV_Resume	1       	9       	140216217175808
18503940255390	HV_Exit 	1       	9       	140216217175808
18503940354558	HV_Resume	1       	9       	140216217175808
18503940381362	HV_Exit 	1       	9       	140216217175808
18503940481466	HV_Resume	1       	9       	140216217175808
18503940507070	HV_Exit 	1       	9       	140216217175808
18503940605786	HV_Resume	1       	9       	140216217175808
18503940631886	HV_Exit 	1       	9       	140216217175808
18503940734706	HV_Resume	1       	9       	140216217175808
18503940903002	HV_Exit 	1       	9       	140216217175808
18503940919458	HV_Resume	1       	9       	140216217175808
18503940938682	HV_Exit 	1       	9       	140216217175808
18504022883410	HV_Resume	1       	9       	140216217175808
18504022971258	HV_Exit 	1       	9       	140216217175808
18504022990534	HV_Resume	1       	9       	140216217175808
18504023045100	HV_Exit 	1       	9       	140216217175808
18504023063386	HV_Resume	1       	9       	140216217175808
18504023275522	HV_Exit 	1       	9       	140216217175808
18504023298596	HV_Resume	1       	9       	140216217175808
18504023448792	HV_Exit 	1       	9       	140216217175808
18504024623436	HV_Resume	1       	9       	140216217175808
18504024704112	HV_Exit 	1       	9       	140216217175808
18504024725830	HV_Resume	1       	9       	140216217175808
18504024772146	HV_Exit 	1       	9       	140216217175808
18504024793154	HV_Resume	1       	9       	140216217175808
18504024831898	HV_Exit 	1       	9       	140216217175808
18504040850122	HV_Resume	2       	7       	140216208783104
18504040922158	HV_Exit 	2       	7       	140216208783104
18504040939978	HV_Resume	2       	7       	140216208783104
18504041008114	HV_Exit 	2       	7       	140216208783104
18504041024578	HV_Resume	2       	7       	140216208783104
18504041057446	HV_Exit 	2       	7       	140216208783104
